S.No.,HSCode,Commodity,2022-2023,2023-2024,%Growth
56,56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",149.11,165.09,10.71
57,57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,472.39,490.88,3.91
58,58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,101.35,109.62,8.16
59,59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",45.32,61.27,35.2
60,60,KNITTED OR CROCHETED FABRICS.,7.64,6.89,-9.78
61,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",2980.34,2575.66,-13.58
62,62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",3167.91,2928.66,-7.55
63,63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,1416.4,1322.83,-6.61
64,64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",1616.94,1437.31,-11.11
65,65,HEADGEAR AND PARTS THEREOF.,28.11,22.43,-20.19
66,66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",1.69,2.32,37.58
67,67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,14.86,16.11,8.41
68,68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",440.06,462.32,5.06
69,69,CERAMIC PRODUCTS.,461.27,651.31,41.2
70,70,GLASS AND GLASSWARE.,277.69,310.61,11.85
