S.No.,HSCode,Commodity,2020-2021,2021-2022,%Growth
52,60,KNITTED OR CROCHETED FABRICS.,0.04,0.06,62.28
53,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",0.42,0.54,29.14
54,62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",1.01,1.76,74.59
55,63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,1.51,1.63,8.06
56,64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",0.03,0.03,-20.85
57,65,HEADGEAR AND PARTS THEREOF.,0.0,0.0,317.04
58,66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",0.0,0.0
59,68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",1.08,2.59,139.82
60,69,CERAMIC PRODUCTS.,0.15,0.56,274.45
61,70,GLASS AND GLASSWARE.,8.45,9.4,11.21
62,71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",12.42,1.62,-86.93
63,72,IRON AND STEEL,18.15,29.99,65.24
64,73,ARTICLES OF IRON OR STEEL,5.7,7.83,37.43
65,74,COPPER AND ARTICLES THEREOF.,5.87,9.87,68.07
66,75,NICKEL AND ARTICLES THEREOF.,0.09,0.04,-55.31
67,76,ALUMINIUM AND ARTICLES THEREOF.,14.12,50.75,259.33
68,78,LEAD AND ARTICLES THEREOF.,5.07,13.3,162.24
69,79,ZINC AND ARTICLES THEREOF.,1.32,4.19,217.5
70,81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,0.12,0.11,-10.8
71,82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",0.23,0.34,46.86
72,83,MISCELLANEOUS ARTICLES OF BASE METAL.,0.0,0.01,141.95
73,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",6.19,8.87,43.34
74,85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",14.92,17.87,19.76
75,86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",0.0,0.0,9.91
76,87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",0.16,0.45,179.39
77,88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.0,0.0
78,89,"SHIPS, BOATS AND FLOATING STRUCTURES.",2.66,41.16,1446.89
79,90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",10.44,6.1,-41.61
80,91,CLOCKS AND WATCHES AND PARTS THEREOF.,0.0,0.0
81,92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,0.01,0.0
82,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",0.18,0.17,-6.15
83,95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",0.01,0.01,134.22
84,96,MISCELLANEOUS MANUFACTURED ARTICLES.,0.4,0.58,45.56
85,97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,0.0,0.0
86,98,PROJECT GOODS; SOME SPECIAL USES.,2.51,0.02,-99.38
87,99,MISCELLANEOUS GOODS.,0.25,0.53,115.92
,,Total,4300.16,7554.44,75.68
