S.No.,HSCode,Commodity,2022-2023,2023-2024,%Growth
1,02,MEAT AND EDIBLE MEAT OFFAL.,427.69,568.67,32.96
2,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",35.92,52.05,44.88
3,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",8.25,16.05,94.56
4,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",0.07,0.08,13.81
5,06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,0.03,0.01,-62.8
6,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,27.63,42.46,53.67
7,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,10.76,17.68,64.38
8,09,"COFFEE, TEA, MATE AND SPICES.",128.69,147.54,14.65
9,10,CEREALS.,253.45,283.04,11.68
10,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,7.5,1.02,-86.36
11,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",27.68,46.89,69.37
12,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",9.02,9.81,8.69
13,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,0.3,0.74,149.95
14,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,9.26,7.81,-15.62
15,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",0.42,0.5,18.91
16,17,SUGARS AND SUGAR CONFECTIONERY.,951.32,827.2,-13.05
17,18,COCOA AND COCOA PREPARATIONS.,1.85,2.3,24.76
18,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",4.94,3.04,-38.48
19,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",6.58,15.39,133.85
20,21,MISCELLANEOUS EDIBLE PREPARATIONS.,11.47,17.75,54.68
21,22,"BEVERAGES, SPIRITS AND VINEGAR.",0.25,0.56,123.55
22,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,3.98,2.95,-25.85
23,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,29.29,57.01,94.62
24,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",49.35,27.19,-44.9
25,26,"ORES, SLAG AND ASH.",7.86,2.33,-70.34
26,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",1813.96,1066.97,-41.18
27,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",45.5,45.91,0.89
28,29,ORGANIC CHEMICALS,467.33,348.13,-25.51
29,30,PHARMACEUTICAL PRODUCTS,278.46,303.27,8.91
30,31,FERTILISERS.,0.33,0.5,50.28
31,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",73.04,74.01,1.33
32,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",44.85,40.15,-10.49
33,34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",23.02,30.41,32.08
34,35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,5.42,5.53,2.05
35,36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,7.27,7.68,5.62
36,37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,0.18,0.37,107.51
37,38,MISCELLANEOUS CHEMICAL PRODUCTS.,150.89,131.42,-12.91
38,39,PLASTIC AND ARTICLES THEREOF.,272.27,220.42,-19.04
39,40,RUBBER AND ARTICLES THEREOF.,85.1,91.22,7.2
40,41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,1.57,1.08,-30.93
41,42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",1.56,2.11,35.24
42,43,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",0.01,0.03,355.68
43,44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,5.2,3.31,-36.23
44,45,CORK AND ARTICLES OF CORK.,0.07,0.07,6.77
45,46,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",0.13,0.79,526.53
46,47,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,0.01,0.0,-78.53
47,48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",103.06,45.58,-55.77
48,49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",4.14,1.2,-70.9
49,50,SILK,0.08,0.06,-24.75
50,51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",3.57,3.51,-1.68
51,52,COTTON.,348.77,296.62,-14.95
52,53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,10.2,9.49,-6.97
53,54,MAN-MADE FILAMENTS.,129.39,119.14,-7.92
54,55,MAN-MADE STAPLE FIBRES.,121.33,106.91,-11.88
