S.No.,HSCode,Commodity,2022-2023,2023-2024,%Growth
1,01,LIVE ANIMALS.,0.0,0.03
2,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",60.17,61.62,2.41
3,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",0.48,0.45,-7.78
4,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",0.76,0.64,-15.36
5,06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,0.04,0.01,-71.21
6,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,13.34,56.47,323.45
7,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,307.07,478.8,55.93
8,09,"COFFEE, TEA, MATE AND SPICES.",224.6,264.43,17.73
9,10,CEREALS.,0.87,0.39,-55.24
10,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,10.83,18.56,71.46
11,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",29.85,29.89,0.16
12,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",162.12,131.2,-19.08
13,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,21.67,24.58,13.41
14,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,390.31,147.0,-62.34
15,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",1.02,0.95,-6.06
16,17,SUGARS AND SUGAR CONFECTIONERY.,6.77,7.7,13.86
17,18,COCOA AND COCOA PREPARATIONS.,3.3,2.6,-21.11
18,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",35.3,27.6,-21.81
19,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",2.34,2.04,-12.89
20,21,MISCELLANEOUS EDIBLE PREPARATIONS.,7.21,2.95,-59.06
21,22,"BEVERAGES, SPIRITS AND VINEGAR.",123.17,134.66,9.32
22,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,171.49,129.18,-24.67
23,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,0.32,0.35,10.85
24,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",94.69,135.56,43.16
25,26,"ORES, SLAG AND ASH.",13.86,6.45,-53.46
26,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",370.7,29.26,-92.11
27,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",33.03,38.03,15.16
28,29,ORGANIC CHEMICALS,9.36,4.64,-50.39
29,30,PHARMACEUTICAL PRODUCTS,13.51,12.59,-6.83
30,31,FERTILISERS.,0.0,0.25
31,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",2.91,3.95,35.4
32,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",21.98,14.23,-35.27
33,34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",2.63,2.15,-18.26
34,35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,1.23,0.04,-96.93
35,36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,0.27,0.42,51.97
36,37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,0.0,0.02
37,38,MISCELLANEOUS CHEMICAL PRODUCTS.,45.11,32.44,-28.1
38,39,PLASTIC AND ARTICLES THEREOF.,102.62,85.63,-16.56
39,40,RUBBER AND ARTICLES THEREOF.,35.56,31.02,-12.76
40,41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,14.2,12.96,-8.72
41,42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",96.97,93.38,-3.7
42,44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,34.89,64.93,86.1
43,46,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",0.41,0.52,25.0
44,47,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,36.49,20.4,-44.09
45,48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",33.1,31.73,-4.13
46,49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",3.47,2.78,-20.04
47,50,SILK,0.01,0.0,-72.2
48,51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",1.8,1.0,-44.48
49,52,COTTON.,47.27,36.17,-23.49
50,53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,251.7,254.93,1.28
51,54,MAN-MADE FILAMENTS.,5.97,5.59,-6.38
52,55,MAN-MADE STAPLE FIBRES.,98.68,99.0,0.32
53,56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",25.75,29.77,15.61
54,57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,3.75,6.8,81.13
55,58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,17.99,15.55,-13.59
56,59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",0.31,0.28,-7.26
57,60,KNITTED OR CROCHETED FABRICS.,64.28,52.01,-19.09
58,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",344.29,226.46,-34.23
59,62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",476.6,427.62,-10.28
60,63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,183.28,167.87,-8.41
61,64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",61.67,76.53,24.11
62,65,HEADGEAR AND PARTS THEREOF.,5.84,5.08,-12.98
63,66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",0.07,0.13,89.7
64,67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,0.32,0.22,-29.61
65,68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",1.1,2.16,96.12
66,69,CERAMIC PRODUCTS.,8.21,8.57,4.46
67,70,GLASS AND GLASSWARE.,17.96,21.23,18.18
68,71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",32.23,45.87,42.33
69,72,IRON AND STEEL,341.66,349.43,2.27
70,73,ARTICLES OF IRON OR STEEL,13.64,17.56,28.77
71,74,COPPER AND ARTICLES THEREOF.,31.24,30.55,-2.21
72,75,NICKEL AND ARTICLES THEREOF.,1.28,0.41,-67.65
73,76,ALUMINIUM AND ARTICLES THEREOF.,8.8,21.44,143.54
74,78,LEAD AND ARTICLES THEREOF.,16.64,20.55,23.54
75,79,ZINC AND ARTICLES THEREOF.,0.57,0.42,-25.71
76,80,TIN AND ARTICLES THEREOF.,0.0,0.0
77,81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,0.01,0.17,1121.44
78,82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",2.93,2.51,-14.43
79,83,MISCELLANEOUS ARTICLES OF BASE METAL.,4.09,4.11,0.43
80,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",78.99,46.1,-41.64
81,85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",50.04,51.34,2.6
82,86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",0.68,0.91,33.52
83,87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",16.59,4.43,-73.29
84,88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",535.96,481.65,-10.13
85,89,"SHIPS, BOATS AND FLOATING STRUCTURES.",87.26,437.84,401.78
86,90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",4.22,12.36,192.94
