S.No.,HSCode,Commodity,2020-2021,2021-2022,%Growth
1,01,LIVE ANIMALS.,0.0,0.0
2,02,MEAT AND EDIBLE MEAT OFFAL.,0.4,0.55,38.45
3,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",767.32,1107.4,44.32
4,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",3.11,4.85,55.78
5,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",9.34,9.25,-1.04
6,06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,32.47,44.38,36.68
7,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,202.82,187.88,-7.37
8,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,349.22,361.7,3.57
9,09,"COFFEE, TEA, MATE AND SPICES.",647.33,809.21,25.01
10,10,CEREALS.,404.04,281.43,-30.34
11,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,62.38,97.35,56.07
12,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",266.32,257.96,-3.14
13,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",148.15,192.19,29.73
14,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,5.05,6.57,29.89
15,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,313.46,388.99,24.1
16,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",41.38,42.07,1.68
17,17,SUGARS AND SUGAR CONFECTIONERY.,96.68,136.47,41.15
18,18,COCOA AND COCOA PREPARATIONS.,29.32,24.08,-17.87
19,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",48.06,50.65,5.4
20,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",188.92,211.66,12.03
21,21,MISCELLANEOUS EDIBLE PREPARATIONS.,139.71,168.21,20.4
22,22,"BEVERAGES, SPIRITS AND VINEGAR.",20.82,18.03,-13.42
23,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,449.71,357.76,-20.45
24,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,268.37,283.45,5.62
25,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",257.52,279.86,8.68
26,26,"ORES, SLAG AND ASH.",27.37,279.38,920.9
27,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",3279.31,11282.1,244.04
28,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",247.66,348.76,40.82
29,29,ORGANIC CHEMICALS,5669.4,6877.5,21.31
30,30,PHARMACEUTICAL PRODUCTS,2636.67,2932.33,11.21
31,31,FERTILISERS.,4.78,2.91,-39.26
32,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",794.35,1105.02,39.11
33,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",303.83,358.85,18.11
34,34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",80.71,101.61,25.9
35,35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,36.24,56.62,56.2
36,36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,10.85,13.53,24.71
37,37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,0.23,0.36,54.18
38,38,MISCELLANEOUS CHEMICAL PRODUCTS.,894.1,1074.97,20.23
39,39,PLASTIC AND ARTICLES THEREOF.,1353.28,2071.61,53.08
40,40,RUBBER AND ARTICLES THEREOF.,1085.49,1547.75,42.59
41,41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,115.12,148.37,28.88
