S.No.,HSCode,Commodity,2020-2021,2021-2022,%Growth
1,01,LIVE ANIMALS.,0.05,0.23,387.08
2,02,MEAT AND EDIBLE MEAT OFFAL.,0.04,0.08,104.92
3,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",3.68,13.44,265.4
4,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",0.0,0.0
5,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",5.24,9.93,89.45
6,06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,3.8,9.46,148.72
7,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,49.52,26.35,-46.78
8,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,17.67,11.66,-34.02
9,09,"COFFEE, TEA, MATE AND SPICES.",16.06,15.35,-4.42
10,10,CEREALS.,0.01,0.05,563.12
11,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,11.63,19.47,67.34
12,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",38.17,42.67,11.78
13,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",33.36,30.82,-7.61
14,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,67.58,55.97,-17.18
15,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,10.07,22.97,128.11
16,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",1.15,0.99,-13.9
17,17,SUGARS AND SUGAR CONFECTIONERY.,4.47,7.93,77.5
18,18,COCOA AND COCOA PREPARATIONS.,1.05,2.54,142.16
19,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",5.06,7.62,50.49
20,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",25.2,27.59,9.5
21,21,MISCELLANEOUS EDIBLE PREPARATIONS.,38.55,40.19,4.24
22,22,"BEVERAGES, SPIRITS AND VINEGAR.",6.18,8.29,34.25
23,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,68.99,87.41,26.69
24,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,6.58,5.11,-22.39
25,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",123.76,215.67,74.27
26,26,"ORES, SLAG AND ASH.",68.84,90.12,30.93
27,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",1273.52,2849.53,123.75
28,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",1882.69,2939.48,56.13
29,29,ORGANIC CHEMICALS,11049.74,15740.86,42.45
30,30,PHARMACEUTICAL PRODUCTS,522.52,309.81,-40.71
31,31,FERTILISERS.,1587.6,2989.74,88.32
32,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",798.27,1211.03,51.71
33,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",193.24,246.2,27.4
34,34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",263.01,358.84,36.44
