S.No.,HSCode,Commodity,2020-2021,2021-2022,%Growth
53,53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,22.47,33.59,49.46
54,54,MAN-MADE FILAMENTS.,227.36,420.71,85.04
55,55,MAN-MADE STAPLE FIBRES.,144.07,304.52,111.37
56,56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",45.34,36.69,-19.07
57,57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,95.29,115.88,21.61
58,58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,13.24,20.25,52.95
59,59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",5.25,6.61,25.97
60,60,KNITTED OR CROCHETED FABRICS.,4.32,7.15,65.58
61,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",594.23,726.3,22.23
62,62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",490.07,683.0,39.37
63,63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,272.08,321.9,18.31
64,64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",207.81,291.06,40.06
65,65,HEADGEAR AND PARTS THEREOF.,4.17,7.4,77.49
66,66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",0.07,0.15,126.24
67,67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,1.58,2.24,41.96
68,68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",177.0,203.58,15.02
69,69,CERAMIC PRODUCTS.,114.35,125.45,9.71
70,70,GLASS AND GLASSWARE.,39.21,44.81,14.27
71,71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",1096.88,940.61,-14.25
72,72,IRON AND STEEL,298.78,1564.05,423.49
73,73,ARTICLES OF IRON OR STEEL,304.5,472.5,55.17
74,74,COPPER AND ARTICLES THEREOF.,30.13,39.92,32.5
75,75,NICKEL AND ARTICLES THEREOF.,7.75,15.26,96.96
76,76,ALUMINIUM AND ARTICLES THEREOF.,114.56,1002.3,774.91
77,78,LEAD AND ARTICLES THEREOF.,4.84,2.15,-55.51
