S.No.,HSCode,Commodity,2019-2020,2020-2021,%Growth
52,53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,7.63,8.18,7.15
53,54,MAN-MADE FILAMENTS.,277.18,181.1,-34.67
54,55,MAN-MADE STAPLE FIBRES.,156.43,172.12,10.03
55,56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",26.39,18.56,-29.66
56,57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,31.14,28.61,-8.12
57,58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,5.96,4.0,-32.94
58,59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",6.86,8.63,25.81
59,60,KNITTED OR CROCHETED FABRICS.,7.35,6.0,-18.26
60,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",106.08,68.12,-35.78
61,62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",190.05,104.2,-45.17
62,63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,103.46,83.24,-19.54
63,64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",37.92,23.58,-37.8
64,65,HEADGEAR AND PARTS THEREOF.,1.83,7.24,294.86
65,66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",0.04,0.06,52.06
66,67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,4.52,3.13,-30.7
67,68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",15.09,18.49,22.54
68,69,CERAMIC PRODUCTS.,88.74,96.2,8.4
69,70,GLASS AND GLASSWARE.,39.13,44.53,13.79
70,71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",16.12,3.74,-76.79
71,72,IRON AND STEEL,243.1,271.19,11.56
72,73,ARTICLES OF IRON OR STEEL,284.54,199.4,-29.92
73,74,COPPER AND ARTICLES THEREOF.,20.95,17.19,-17.93
74,75,NICKEL AND ARTICLES THEREOF.,2.25,2.89,28.44
75,76,ALUMINIUM AND ARTICLES THEREOF.,213.61,221.77,3.82
76,78,LEAD AND ARTICLES THEREOF.,0.15,0.16,2.35
77,79,ZINC AND ARTICLES THEREOF.,1.38,1.11,-19.14
78,80,TIN AND ARTICLES THEREOF.,0.0,0.0,335.9
79,81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,0.85,0.98,15.5
80,82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",44.9,43.62,-2.86
81,83,MISCELLANEOUS ARTICLES OF BASE METAL.,31.47,20.87,-33.68
82,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",591.55,536.23,-9.35
83,85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",255.02,219.75,-13.83
84,86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",1.6,1.16,-27.46
85,87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",1569.24,1400.24,-10.77
86,88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",1.98,0.14,-93.1
87,89,"SHIPS, BOATS AND FLOATING STRUCTURES.",42.74,17.36,-59.39
88,90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",137.49,132.4,-3.71
89,91,CLOCKS AND WATCHES AND PARTS THEREOF.,0.37,0.22,-40.26
90,92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,0.14,0.05,-59.81
91,93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,0.49,0.92,88.54
92,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",41.68,26.66,-36.04
93,95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",6.64,7.35,10.83
94,96,MISCELLANEOUS MANUFACTURED ARTICLES.,30.22,26.92,-10.92
95,97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,0.16,0.21,31.8
96,98,PROJECT GOODS; SOME SPECIAL USES.,0.03,0.42,1240.0
97,99,MISCELLANEOUS GOODS.,0.0,0.01,98.07
,,Total,10058.96,10103.87,0.45
