S.No.,HSCode,Commodity,2019-2020,2020-2021,%Growth
1,01,LIVE ANIMALS.,0.03,0.05,81.33
2,02,MEAT AND EDIBLE MEAT OFFAL.,0.0,0.04
3,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",3.93,3.68,-6.42
4,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",0.0,0.0,-63.98
5,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",8.0,5.24,-34.54
6,06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,4.19,3.8,-9.3
7,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,55.09,49.52,-10.11
8,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,38.74,17.67,-54.39
9,09,"COFFEE, TEA, MATE AND SPICES.",10.44,16.06,53.81
10,10,CEREALS.,0.09,0.01,-92.61
11,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,15.98,11.63,-27.18
12,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",35.33,38.17,8.03
13,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",25.33,33.36,31.69
14,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,52.9,67.58,27.77
15,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,16.9,10.07,-40.43
16,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",1.19,1.15,-3.57
17,17,SUGARS AND SUGAR CONFECTIONERY.,7.58,4.47,-41.07
18,18,COCOA AND COCOA PREPARATIONS.,1.65,1.05,-36.67
19,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",3.04,5.06,66.41
20,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",34.88,25.2,-27.77
21,21,MISCELLANEOUS EDIBLE PREPARATIONS.,26.46,38.55,45.7
22,22,"BEVERAGES, SPIRITS AND VINEGAR.",3.65,6.18,69.18
23,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,69.4,68.99,-0.59
24,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,6.66,6.58,-1.16
25,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",167.89,123.76,-26.29
26,26,"ORES, SLAG AND ASH.",56.27,68.84,22.33
27,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",1844.73,1273.52,-30.96
28,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",1348.19,1882.69,39.64
29,29,ORGANIC CHEMICALS,10586.67,11049.74,4.37
30,30,PHARMACEUTICAL PRODUCTS,250.1,522.52,108.93
31,31,FERTILISERS.,1849.19,1587.6,-14.15
32,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",789.2,798.27,1.15
33,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",203.58,193.24,-5.08
34,34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",270.74,263.01,-2.86
35,35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,208.37,208.87,0.24
36,36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,0.02,0.01,-60.05
37,37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,89.8,85.86,-4.39
38,38,MISCELLANEOUS CHEMICAL PRODUCTS.,1740.36,2115.46,21.55
39,39,PLASTIC AND ARTICLES THEREOF.,6297.08,5921.42,-5.97
40,40,RUBBER AND ARTICLES THEREOF.,876.25,792.13,-9.6
41,41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,73.52,42.22,-42.58
42,42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",338.53,107.97,-68.11
43,43,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",2.55,1.06,-58.34
44,44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,142.47,108.32,-23.97
45,45,CORK AND ARTICLES OF CORK.,0.99,0.25,-74.75
46,46,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",3.41,2.36,-30.89
