S.No.,HSCode,Commodity,2019-2020,2020-2021,%Growth
1,02,MEAT AND EDIBLE MEAT OFFAL.,0.02,0.01,-72.78
2,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",35.34,57.27,62.07
3,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",0.97,0.18,-81.56
4,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",1.17,0.61,-47.71
5,06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,0.05,0.03,-34.93
6,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,41.42,25.82,-37.67
7,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,361.37,376.42,4.16
8,09,"COFFEE, TEA, MATE AND SPICES.",188.26,222.17,18.01
9,10,CEREALS.,0.12,0.05,-57.11
10,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,13.43,7.24,-46.07
11,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",22.62,33.99,50.24
12,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",131.15,100.77,-23.16
13,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,8.1,17.01,110.18
14,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,441.85,468.24,5.97
15,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",1.42,1.07,-24.71
16,17,SUGARS AND SUGAR CONFECTIONERY.,7.64,9.45,23.64
17,18,COCOA AND COCOA PREPARATIONS.,4.89,4.29,-12.21
18,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",23.43,34.57,47.55
19,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",4.58,3.16,-30.96
20,21,MISCELLANEOUS EDIBLE PREPARATIONS.,1.64,1.21,-25.99
21,22,"BEVERAGES, SPIRITS AND VINEGAR.",81.43,64.73,-20.51
22,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,122.51,109.36,-10.73
23,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,0.05,0.14,175.29
24,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",74.25,50.43,-32.08
25,26,"ORES, SLAG AND ASH.",9.28,14.18,52.9
26,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",182.34,269.17,47.62
27,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",36.71,15.07,-58.94
28,29,ORGANIC CHEMICALS,3.57,4.76,33.13
29,30,PHARMACEUTICAL PRODUCTS,10.31,13.24,28.43
30,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",7.23,1.92,-73.48
31,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",20.57,19.61,-4.65
32,34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",2.15,1.97,-8.37
