S.No.,HSCode,Commodity,2020-2021,2021-2022,%Growth
1,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",1.35,1.11,-17.9
2,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",0.0,0.0,22.65
3,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",0.01,0.44,2982.0
4,06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,0.06,0.08,47.89
5,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,5.23,7.28,39.08
6,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,4.63,5.25,13.31
7,09,"COFFEE, TEA, MATE AND SPICES.",8.05,6.36,-20.94
8,10,CEREALS.,4.79,3.63,-24.21
9,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,22.49,44.97,99.94
10,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",1.15,4.74,310.68
11,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",1.32,1.19,-9.77
12,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,0.01,0.01,86.61
13,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,0.39,0.34,-11.32
14,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",0.19,0.23,21.44
15,17,SUGARS AND SUGAR CONFECTIONERY.,2.79,0.13,-95.21
16,18,COCOA AND COCOA PREPARATIONS.,0.07,0.06,-11.85
17,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",0.79,0.45,-42.66
18,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",3.71,4.53,22.15
19,21,MISCELLANEOUS EDIBLE PREPARATIONS.,6.37,4.36,-31.47
20,22,"BEVERAGES, SPIRITS AND VINEGAR.",0.06,0.18,186.96
21,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,30.39,32.27,6.16
22,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,0.24,0.37,53.1
23,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",3.94,2.78,-29.49
24,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",0.02,0.01,-67.84
25,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",12.21,1.95,-84.02
26,29,ORGANIC CHEMICALS,682.52,695.69,1.93
27,30,PHARMACEUTICAL PRODUCTS,20.79,20.61,-0.84
28,31,FERTILISERS.,0.03,0.01,-64.06
29,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",19.08,22.81,19.54
30,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",11.11,6.15,-44.63
31,34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",0.61,0.96,58.67
32,35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,0.2,0.18,-9.41
33,36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,0.0,0.0,505.05
34,37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,0.0,0.0
35,38,MISCELLANEOUS CHEMICAL PRODUCTS.,2.08,4.96,138.04
36,39,PLASTIC AND ARTICLES THEREOF.,7.23,10.51,45.44
37,40,RUBBER AND ARTICLES THEREOF.,14.29,19.49,36.37
38,41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,1.38,1.38,-0.06
39,42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",26.24,15.68,-40.26
40,43,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",0.01,0.0,-45.19
41,44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,4.26,3.29,-22.71
42,45,CORK AND ARTICLES OF CORK.,0.0,0.0,34.68
43,46,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",0.44,0.91,108.29
44,47,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,0.0,0.0
45,48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",4.79,6.24,30.31
46,49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",0.33,0.34,4.25
47,50,SILK,0.39,0.4,3.89
48,51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",0.09,0.01,-93.5
49,52,COTTON.,3.84,5.1,32.85
50,53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,0.54,0.54,0.4
51,54,MAN-MADE FILAMENTS.,0.2,0.39,96.03
52,55,MAN-MADE STAPLE FIBRES.,0.8,0.31,-60.7
53,56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",20.99,24.91,18.67
54,57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,11.21,10.55,-5.95
55,58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,0.1,0.09,-7.09
56,59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",0.2,0.61,203.41
57,60,KNITTED OR CROCHETED FABRICS.,0.8,0.02,-96.97
58,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",30.43,24.94,-18.04
59,62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",20.68,18.95,-8.36
60,63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,37.5,40.26,7.34
61,64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",11.38,11.15,-2.07
62,65,HEADGEAR AND PARTS THEREOF.,0.15,0.16,0.38
63,66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",0.0,0.0,1697.08
64,67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,0.74,0.74,0.33
65,68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",4.52,4.09,-9.63
66,69,CERAMIC PRODUCTS.,0.33,0.45,35.46
67,70,GLASS AND GLASSWARE.,5.36,4.89,-8.83
68,71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",302.28,172.79,-42.84
69,72,IRON AND STEEL,17.32,223.44,1190.03
70,73,ARTICLES OF IRON OR STEEL,24.53,30.11,22.75
71,74,COPPER AND ARTICLES THEREOF.,1.44,2.3,59.43
72,75,NICKEL AND ARTICLES THEREOF.,0.09,0.06,-33.67
73,76,ALUMINIUM AND ARTICLES THEREOF.,12.49,10.79,-13.61
74,78,LEAD AND ARTICLES THEREOF.,0.0,0.01
75,79,ZINC AND ARTICLES THEREOF.,0.03,0.04,34.7
76,81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,0.34,0.33,-2.36
77,82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",1.94,2.75,42.13
78,83,MISCELLANEOUS ARTICLES OF BASE METAL.,1.15,1.63,41.98
79,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",44.78,59.93,33.84
80,85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",47.49,56.27,18.5
81,86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",1.03,0.08,-91.78
82,87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",11.05,11.34,2.59
83,88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",23.89,20.67,-13.48
84,90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",21.23,22.96,8.17
85,91,CLOCKS AND WATCHES AND PARTS THEREOF.,18.02,21.51,19.38
86,92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,0.05,0.06,24.28
87,93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,0.05,0.01,-77.28
88,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",7.62,10.23,34.23
89,95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",4.47,5.56,24.44
90,96,MISCELLANEOUS MANUFACTURED ARTICLES.,0.3,0.44,48.34
91,97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,1.18,8.21,595.77
92,98,PROJECT GOODS; SOME SPECIAL USES.,0.04,0.0,-96.64
93,99,MISCELLANEOUS GOODS.,0.0,0.0,33.86
,,Total,1598.67,1742.01,8.97
