S.No.,HSCode,Commodity,2019-2020,2020-2021,%Growth
1,02,MEAT AND EDIBLE MEAT OFFAL.,15.11,6.06,-59.91
2,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",0.59,1.17,99.0
3,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",0.35,0.17,-52.2
4,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",0.3,0.11,-62.3
5,06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,0.44,0.13,-69.28
6,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,0.35,0.32,-10.04
7,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,0.14,0.4,192.61
8,09,"COFFEE, TEA, MATE AND SPICES.",1.26,1.01,-20.15
9,10,CEREALS.,21.13,115.35,445.89
10,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,0.4,0.47,17.0
11,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",1.1,0.33,-69.79
12,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",0.21,0.18,-14.91
13,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,0.0,0.05
14,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,0.16,0.23,42.97
15,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",0.14,0.43,208.94
16,17,SUGARS AND SUGAR CONFECTIONERY.,9.22,6.4,-30.59
17,18,COCOA AND COCOA PREPARATIONS.,0.1,0.06,-44.33
18,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",20.0,8.94,-55.31
19,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",0.95,1.28,34.49
20,21,MISCELLANEOUS EDIBLE PREPARATIONS.,0.69,1.65,140.31
21,22,"BEVERAGES, SPIRITS AND VINEGAR.",7.83,15.01,91.63
22,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,0.22,0.22,-0.22
23,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,4.6,4.39,-4.41
24,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",4.81,3.09,-35.91
25,26,"ORES, SLAG AND ASH.",0.42,0.08,-80.64
26,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",1733.28,736.19,-57.53
27,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",6.57,5.61,-14.66
28,29,ORGANIC CHEMICALS,12.1,8.87,-26.74
29,30,PHARMACEUTICAL PRODUCTS,355.17,391.03,10.1
30,31,FERTILISERS.,7.25,16.82,132.08
31,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",4.94,4.33,-12.5
32,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",16.81,14.41,-14.27
33,34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",5.5,3.95,-28.17
34,35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,1.72,1.84,7.05
35,36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,7.32,5.25,-28.29
36,37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,0.1,0.12,18.49
37,38,MISCELLANEOUS CHEMICAL PRODUCTS.,52.48,13.45,-74.38
38,39,PLASTIC AND ARTICLES THEREOF.,89.19,70.69,-20.74
39,40,RUBBER AND ARTICLES THEREOF.,15.58,15.58,0.05
40,41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,0.0,0.08,9616.1
41,42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",0.29,0.2,-31.92
42,43,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",0.01,0.01,-0.42
43,44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,0.43,0.23,-47.28
44,45,CORK AND ARTICLES OF CORK.,0.0,0.01,905.43
45,46,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",0.08,0.03,-59.27
46,47,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,0.0,0.0
47,48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",22.57,11.65,-48.39
48,49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",8.45,7.25,-14.24
49,50,SILK,0.0,0.0,-99.78
50,52,COTTON.,37.77,15.32,-59.43
51,53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,2.62,2.33,-11.09
52,54,MAN-MADE FILAMENTS.,9.32,4.61,-50.57
53,55,MAN-MADE STAPLE FIBRES.,3.81,1.26,-66.81
54,56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",1.19,0.78,-34.13
55,57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,0.43,0.16,-63.78
56,58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,0.18,0.19,6.9
57,59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",1.78,1.43,-19.68
58,60,KNITTED OR CROCHETED FABRICS.,0.39,0.13,-66.2
59,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",4.19,3.15,-24.87
60,62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",3.14,2.76,-12.3
61,63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,21.91,28.58,30.44
62,64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",4.28,2.18,-48.99
63,65,HEADGEAR AND PARTS THEREOF.,0.19,0.15,-22.23
