S.No.,HSCode,Commodity,2019-2020,2020-2021,%Growth
1,02,MEAT AND EDIBLE MEAT OFFAL.,0.01,0.0
2,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",2.87,1.57,-45.19
3,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",0.92,1.46,57.66
4,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,0.19,0.0
5,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,0.04,0.0
6,09,"COFFEE, TEA, MATE AND SPICES.",0.02,0.0,-98.4
7,10,CEREALS.,1.9,0.0
8,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,0.0,0.0,44.55
9,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",0.0,0.01,7459.88
10,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",0.63,0.39,-38.04
11,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,0.0,0.0
12,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,163.66,164.96,0.79
13,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",0.16,0.02,-86.97
14,17,SUGARS AND SUGAR CONFECTIONERY.,0.37,0.04,-89.4
15,18,COCOA AND COCOA PREPARATIONS.,8.69,1.0,-88.46
16,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",1.12,0.42,-62.42
17,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",0.05,0.03,-33.0
18,21,MISCELLANEOUS EDIBLE PREPARATIONS.,1.54,3.2,107.27
19,22,"BEVERAGES, SPIRITS AND VINEGAR.",1.03,0.02,-97.6
20,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,31.77,2.67,-91.58
21,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,3.28,1.7,-48.13
22,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",16.83,11.51,-31.65
23,26,"ORES, SLAG AND ASH.",6.9,3.68,-46.59
24,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",426.0,385.37,-9.54
25,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",11.72,11.04,-5.78
26,29,ORGANIC CHEMICALS,138.59,158.05,14.04
27,30,PHARMACEUTICAL PRODUCTS,316.73,340.42,7.48
28,31,FERTILISERS.,16.03,22.83,42.45
29,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",20.84,23.55,12.99
30,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",28.55,16.61,-41.81
31,34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",7.35,9.32,26.72
32,35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,13.07,13.02,-0.38
33,36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,0.0,0.0
34,37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,0.06,0.06,-2.91
35,38,MISCELLANEOUS CHEMICAL PRODUCTS.,55.35,54.9,-0.82
36,39,PLASTIC AND ARTICLES THEREOF.,103.18,80.99,-21.51
37,40,RUBBER AND ARTICLES THEREOF.,12.43,8.67,-30.28
38,41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,3.68,1.53,-58.38
39,42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",6.26,5.81,-7.13
40,43,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",0.08,0.0,-97.47
41,44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,0.67,0.42,-36.52
42,45,CORK AND ARTICLES OF CORK.,0.0,0.0,-9.62
43,47,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,44.46,13.08,-70.57
