S.No.,HSCode,Commodity,2022-2023,2023-2024,%Growth
1,01,LIVE ANIMALS.,0.0,0.0
2,02,MEAT AND EDIBLE MEAT OFFAL.,0.0,0.18
3,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",0.38,0.15,-60.25
4,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",0.06,0.0,-94.22
5,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",2.81,1.6,-43.15
6,06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,0.02,0.02,-2.73
7,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,0.81,227.9,28166.8
8,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,0.12,0.14,19.17
9,09,"COFFEE, TEA, MATE AND SPICES.",21.92,17.18,-21.66
10,10,CEREALS.,0.0,31.86,40063553.68
11,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,1.15,1.46,26.03
12,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",1.0,0.51,-49.13
13,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",0.09,0.15,69.13
14,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,1612.68,1773.33,9.96
15,17,SUGARS AND SUGAR CONFECTIONERY.,0.03,0.11,344.96
16,18,COCOA AND COCOA PREPARATIONS.,0.06,0.04,-25.07
17,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",0.0,0.0
18,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",0.01,0.02,13.25
19,21,MISCELLANEOUS EDIBLE PREPARATIONS.,0.04,0.18,330.56
20,22,"BEVERAGES, SPIRITS AND VINEGAR.",1.04,0.7,-32.94
21,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,1.5,10.48,600.44
22,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,0.04,0.1,120.34
23,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",112.62,117.45,4.29
24,26,"ORES, SLAG AND ASH.",2.46,19.29,683.83
25,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",39311.36,54261.44,38.03
26,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",89.58,104.15,16.26
27,29,ORGANIC CHEMICALS,54.79,59.81,9.15
28,30,PHARMACEUTICAL PRODUCTS,0.75,0.98,29.81
29,31,FERTILISERS.,3197.82,2081.52,-34.91
30,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",0.66,3.03,355.77
31,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",0.66,0.64,-2.02
32,34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",0.41,0.94,129.2
