S.No.,HSCode,Commodity,2022-2023,2023-2024,%Growth
53,63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,0.28,0.64,129.47
54,64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",0.02,0.0
55,65,HEADGEAR AND PARTS THEREOF.,0.0,0.0,0.1
56,67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,0.05,0.03,-51.42
57,68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",1.32,1.81,36.61
58,69,CERAMIC PRODUCTS.,1.73,1.2,-30.58
59,70,GLASS AND GLASSWARE.,1.78,1.98,11.64
60,71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",762.33,478.02,-37.3
61,72,IRON AND STEEL,135.88,148.09,8.98
62,73,ARTICLES OF IRON OR STEEL,5.07,6.72,32.5
63,74,COPPER AND ARTICLES THEREOF.,19.61,27.95,42.49
64,75,NICKEL AND ARTICLES THEREOF.,1.28,1.61,26.29
65,76,ALUMINIUM AND ARTICLES THEREOF.,85.39,111.32,30.36
66,78,LEAD AND ARTICLES THEREOF.,8.21,6.94,-15.49
67,79,ZINC AND ARTICLES THEREOF.,2.49,2.89,15.93
68,81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,0.89,0.66,-26.17
69,82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",28.52,29.34,2.88
70,83,MISCELLANEOUS ARTICLES OF BASE METAL.,0.35,0.44,26.83
71,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",90.58,94.23,4.03
72,85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",470.64,577.41,22.69
73,86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",0.1,0.06,-39.34
74,87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",2.39,2.34,-2.34
75,88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",4.11,193.44,4606.84
76,89,"SHIPS, BOATS AND FLOATING STRUCTURES.",0.08,0.0
77,90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",91.33,101.08,10.68
78,91,CLOCKS AND WATCHES AND PARTS THEREOF.,0.16,0.04,-76.75
79,92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,0.0,0.0,-62.83
80,93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,53.43,103.98,94.61
81,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",7.17,3.03,-57.74
82,95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",0.05,0.04,-23.8
83,96,MISCELLANEOUS MANUFACTURED ARTICLES.,0.08,0.12,43.02
84,97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,0.09,10.01,11374.44
85,98,PROJECT GOODS; SOME SPECIAL USES.,1.48,2.17,46.45
86,99,MISCELLANEOUS GOODS.,0.97,1.57,61.86
,,Total,39933.82,34326.56,-14.04
