S.No.,HSCode,Commodity,2022-2023,2023-2024,%Growth
52,52,COTTON.,2359.62,2701.21,14.48
53,53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,37.76,33.62,-10.97
54,54,MAN-MADE FILAMENTS.,277.82,243.08,-12.5
55,55,MAN-MADE STAPLE FIBRES.,296.17,290.68,-1.86
56,56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",21.45,23.51,9.6
57,57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,2.74,2.4,-12.17
58,58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,58.47,53.12,-9.14
59,59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",27.16,29.05,6.96
60,60,KNITTED OR CROCHETED FABRICS.,349.0,291.85,-16.37
61,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",57.87,47.87,-17.28
62,62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",154.11,129.91,-15.7
63,63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,52.18,59.31,13.68
64,64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",26.97,28.3,4.91
65,65,HEADGEAR AND PARTS THEREOF.,9.58,9.89,3.28
66,66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",0.88,0.42,-52.53
67,67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,7.58,6.92,-8.67
68,68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",69.82,59.32,-15.04
69,69,CERAMIC PRODUCTS.,98.62,123.81,25.54
70,70,GLASS AND GLASSWARE.,78.46,70.96,-9.55
71,71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",68.86,71.11,3.27
72,72,IRON AND STEEL,1421.56,1227.25,-13.67
73,73,ARTICLES OF IRON OR STEEL,451.88,361.96,-19.9
74,74,COPPER AND ARTICLES THEREOF.,50.61,56.41,11.47
75,75,NICKEL AND ARTICLES THEREOF.,0.36,0.34,-6.12
76,76,ALUMINIUM AND ARTICLES THEREOF.,374.47,408.4,9.06
77,78,LEAD AND ARTICLES THEREOF.,19.05,42.65,123.84
78,79,ZINC AND ARTICLES THEREOF.,39.61,38.82,-1.99
79,80,TIN AND ARTICLES THEREOF.,1.32,1.59,20.43
80,81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,1.64,1.4,-14.84
81,82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",37.66,33.36,-11.43
82,83,MISCELLANEOUS ARTICLES OF BASE METAL.,65.37,60.82,-6.96
83,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",1372.29,1245.08,-9.27
84,85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",790.31,777.07,-1.68
85,86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",5.62,7.66,36.33
86,87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",1259.5,1089.83,-13.47
87,88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",1.58,40.78,2485.08
88,89,"SHIPS, BOATS AND FLOATING STRUCTURES.",451.05,778.19,72.53
89,90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",164.74,170.54,3.52
90,91,CLOCKS AND WATCHES AND PARTS THEREOF.,5.55,3.91,-29.57
91,92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,1.31,1.52,15.89
92,93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,1.37,1.21,-11.77
93,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",68.64,60.11,-12.43
94,95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",7.77,8.11,4.36
95,96,MISCELLANEOUS MANUFACTURED ARTICLES.,89.82,78.69,-12.39
96,97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,0.73,0.39,-47.2
97,98,PROJECT GOODS; SOME SPECIAL USES.,1.0,0.81,-18.94
98,99,MISCELLANEOUS GOODS.,0.02,0.02,5.08
,,Total,28026.68,25623.66,-8.57
