S.No.,HSCode,Commodity,2020-2021,2021-2022,%Growth
1,01,LIVE ANIMALS.,3.57,3.95,10.79
2,02,MEAT AND EDIBLE MEAT OFFAL.,0.02,0.11,509.52
3,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",31.01,35.3,13.85
4,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",0.16,0.9,454.76
5,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",11.52,17.48,51.72
6,06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,1.86,2.21,19.36
7,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,542.09,413.77,-23.67
8,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,906.02,863.55,-4.69
9,09,"COFFEE, TEA, MATE AND SPICES.",2.74,2.58,-5.81
10,10,CEREALS.,2.37,1.74,-26.48
11,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,1.97,1.78,-9.55
12,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",16.88,15.28,-9.47
13,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",13.48,13.58,0.79
14,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,0.0,0.01,115.55
15,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,47.33,183.59,287.9
16,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",2.97,5.84,96.69
17,17,SUGARS AND SUGAR CONFECTIONERY.,24.64,20.11,-18.4
18,18,COCOA AND COCOA PREPARATIONS.,1.39,3.29,136.84
19,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",1.32,1.05,-20.47
20,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",12.1,17.79,46.99
21,21,MISCELLANEOUS EDIBLE PREPARATIONS.,35.09,54.46,55.18
