S.No.,HSCode,Commodity,2020-2021,2021-2022,%Growth
53,58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,0.37,0.24,-34.7
54,59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",3.09,3.38,9.61
55,60,KNITTED OR CROCHETED FABRICS.,0.01,0.13,2156.74
56,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",1.4,2.26,60.96
57,62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",3.0,3.48,15.94
58,63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,0.49,0.16,-68.18
59,64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",2.6,4.59,76.68
60,65,HEADGEAR AND PARTS THEREOF.,0.23,0.44,93.46
61,66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",0.0,0.01,426.85
62,67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,0.0,0.0
63,68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",6.78,5.32,-21.62
64,69,CERAMIC PRODUCTS.,0.2,0.36,80.7
65,70,GLASS AND GLASSWARE.,2.51,2.97,18.15
66,71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",16319.41,20871.3,27.89
67,72,IRON AND STEEL,56.07,81.52,45.38
68,73,ARTICLES OF IRON OR STEEL,29.51,24.0,-18.68
69,74,COPPER AND ARTICLES THEREOF.,16.0,29.09,81.81
70,75,NICKEL AND ARTICLES THEREOF.,108.2,139.08,28.53
71,76,ALUMINIUM AND ARTICLES THEREOF.,38.32,41.78,9.03
72,78,LEAD AND ARTICLES THEREOF.,0.03,0.07,118.84
73,79,ZINC AND ARTICLES THEREOF.,5.29,11.69,120.99
74,80,TIN AND ARTICLES THEREOF.,0.0,0.0,729.92
75,81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,1.6,8.46,429.92
76,82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",8.12,13.93,71.56
77,83,MISCELLANEOUS ARTICLES OF BASE METAL.,1.36,1.98,45.78
78,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",287.37,337.39,17.41
79,85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",149.16,166.71,11.77
80,86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",0.18,1.13,541.44
81,87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",1.84,1.36,-26.35
82,88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.5,0.14,-71.42
83,89,"SHIPS, BOATS AND FLOATING STRUCTURES.",145.24,127.39,-12.29
84,90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",225.29,336.91,49.54
85,91,CLOCKS AND WATCHES AND PARTS THEREOF.,119.27,174.78,46.54
86,92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,0.0,0.0
87,93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,0.09,0.4,349.43
88,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",2.31,2.09,-9.6
89,95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",0.79,1.44,82.6
90,96,MISCELLANEOUS MANUFACTURED ARTICLES.,5.73,5.77,0.75
91,97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,0.38,2.32,510.92
92,98,PROJECT GOODS; SOME SPECIAL USES.,3.79,21.87,477.09
93,99,MISCELLANEOUS GOODS.,0.01,0.01,-21.02
,,Total,18911.17,25491.22,34.79
