S.No.,HSCode,Commodity,2019-2020,2020-2021,%Growth
52,52,COTTON.,121.36,134.35,10.71
53,53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,78.06,119.42,52.98
54,54,MAN-MADE FILAMENTS.,169.23,150.65,-10.98
55,55,MAN-MADE STAPLE FIBRES.,147.94,128.7,-13.01
56,56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",115.1,175.04,52.07
57,57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,938.64,1098.23,17.0
58,58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,37.09,37.05,-0.11
59,59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",115.65,189.02,63.44
60,60,KNITTED OR CROCHETED FABRICS.,58.94,120.84,105.02
61,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",2168.4,1834.4,-15.4
62,62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",2427.76,1702.27,-29.88
63,63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,2559.09,2872.21,12.24
64,64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",455.21,323.84,-28.86
65,65,HEADGEAR AND PARTS THEREOF.,11.93,12.85,7.74
66,66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",0.28,0.2,-29.32
67,67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,15.5,18.67,20.46
68,68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",652.22,739.3,13.35
69,69,CERAMIC PRODUCTS.,219.63,277.29,26.25
70,70,GLASS AND GLASSWARE.,203.96,246.83,21.02
71,71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",9387.13,8864.46,-5.57
72,72,IRON AND STEEL,292.41,380.65,30.18
73,73,ARTICLES OF IRON OR STEEL,2050.05,1831.65,-10.65
74,74,COPPER AND ARTICLES THEREOF.,169.29,183.45,8.36
75,75,NICKEL AND ARTICLES THEREOF.,9.32,9.76,4.73
76,76,ALUMINIUM AND ARTICLES THEREOF.,791.81,722.87,-8.71
77,78,LEAD AND ARTICLES THEREOF.,11.31,1.55,-86.28
78,79,ZINC AND ARTICLES THEREOF.,5.87,6.9,17.55
79,80,TIN AND ARTICLES THEREOF.,0.14,0.37,170.06
80,81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,17.94,16.45,-8.32
81,82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",193.08,211.23,9.4
82,83,MISCELLANEOUS ARTICLES OF BASE METAL.,131.0,158.55,21.03
83,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",4899.94,4410.12,-10.0
84,85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",2803.61,3021.34,7.77
85,86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",29.1,72.55,149.29
86,87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",4383.63,3384.93,-22.78
87,88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",530.82,421.94,-20.51
88,89,"SHIPS, BOATS AND FLOATING STRUCTURES.",0.2,1.0,405.32
89,90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",663.62,634.34,-4.41
90,91,CLOCKS AND WATCHES AND PARTS THEREOF.,6.03,6.52,8.07
91,92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,8.2,5.32,-35.17
92,93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,43.89,68.81,56.78
93,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",819.76,959.21,17.01
94,95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",129.43,145.86,12.69
95,96,MISCELLANEOUS MANUFACTURED ARTICLES.,133.88,137.19,2.47
96,97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,60.26,16.32,-72.92
97,98,PROJECT GOODS; SOME SPECIAL USES.,1.29,0.56,-56.19
98,99,MISCELLANEOUS GOODS.,0.05,0.4,736.01
,,Total,59564.28,57670.58,-3.18
