S.No.,HSCode,Commodity,2023-2024,2024-2025,%Growth
1,01,LIVE ANIMALS.,11.14,18.46,65.71
2,02,MEAT AND EDIBLE MEAT OFFAL.,774.41,858.67,10.88
3,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",211.54,221.32,4.62
4,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",240.3,359.12,49.45
5,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",0.28,0.36,30.87
6,06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,9.33,9.81,5.14
7,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,367.75,378.18,2.84
8,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,502.76,482.24,-4.08
9,09,"COFFEE, TEA, MATE AND SPICES.",665.05,838.43,26.07
10,10,CEREALS.,2503.96,2466.05,-1.51
11,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,52.05,51.07,-1.89
12,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",146.96,148.93,1.34
13,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",23.35,32.09,37.43
14,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,5.7,6.87,20.46
15,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,94.92,103.52,9.06
16,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",3.83,5.66,47.92
17,17,SUGARS AND SUGAR CONFECTIONERY.,258.03,149.2,-42.18
18,18,COCOA AND COCOA PREPARATIONS.,25.83,32.39,25.4
19,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",127.08,144.2,13.47
20,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",172.32,198.06,14.94
21,21,MISCELLANEOUS EDIBLE PREPARATIONS.,180.41,222.33,23.23
22,22,"BEVERAGES, SPIRITS AND VINEGAR.",149.59,183.11,22.41
