S.No.,HSCode,Commodity,2022-2023,2023-2024,%Growth
52,53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,107.26,120.04,11.91
53,54,MAN-MADE FILAMENTS.,32.78,41.15,25.53
54,55,MAN-MADE STAPLE FIBRES.,48.86,56.49,15.62
55,56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",6.43,8.23,27.98
56,57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,29.75,31.98,7.47
57,58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,7.59,8.08,6.46
58,59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",32.01,34.13,6.61
59,60,KNITTED OR CROCHETED FABRICS.,25.99,1.77,-93.2
60,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",128.62,120.82,-6.06
61,62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",253.55,271.57,7.11
62,63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,86.39,91.08,5.43
63,64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",184.36,146.41,-20.59
64,65,HEADGEAR AND PARTS THEREOF.,0.84,0.89,6.45
65,66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",0.01,0.0,-57.42
66,67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,407.11,489.5,20.24
67,68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",45.79,35.96,-21.46
68,69,CERAMIC PRODUCTS.,68.81,57.0,-17.17
69,70,GLASS AND GLASSWARE.,33.09,36.36,9.89
70,71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",9302.86,7117.28,-23.49
71,72,IRON AND STEEL,1203.96,1314.68,9.2
72,73,ARTICLES OF IRON OR STEEL,217.8,228.05,4.7
73,74,COPPER AND ARTICLES THEREOF.,512.77,420.41,-18.01
74,75,NICKEL AND ARTICLES THEREOF.,19.43,20.04,3.14
75,76,ALUMINIUM AND ARTICLES THEREOF.,1631.5,1881.45,15.32
76,78,LEAD AND ARTICLES THEREOF.,251.19,230.41,-8.27
77,79,ZINC AND ARTICLES THEREOF.,162.22,97.36,-39.98
78,80,TIN AND ARTICLES THEREOF.,0.66,4.82,626.84
79,81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,22.58,20.9,-7.45
80,82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",28.03,25.8,-7.95
81,83,MISCELLANEOUS ARTICLES OF BASE METAL.,28.71,28.09,-2.16
82,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",1905.82,2449.99,28.55
83,85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",1702.92,2005.88,17.79
84,86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",10.12,9.71,-4.09
85,87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",756.47,851.9,12.61
86,88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",36.6,66.03,80.44
87,89,"SHIPS, BOATS AND FLOATING STRUCTURES.",18.59,0.13,-99.31
88,90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",399.26,401.23,0.49
89,91,CLOCKS AND WATCHES AND PARTS THEREOF.,7.23,7.85,8.55
90,92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,6.43,8.3,29.01
91,93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,2.17,0.04,-98.37
92,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",23.76,21.06,-11.35
93,95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",9.23,9.11,-1.29
94,96,MISCELLANEOUS MANUFACTURED ARTICLES.,24.21,20.63,-14.8
95,97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,13.89,44.45,220.02
96,98,PROJECT GOODS; SOME SPECIAL USES.,1.12,4.53,303.68
97,99,MISCELLANEOUS GOODS.,0.01,0.01,18.82
,,Total,39991.65,38352.53,-4.1
